Timestamp,[SECTION A: Basic Information] 1. What is your age?,2. What is your gender?,[SECTION B: Social Media Usage] 3. Which social media platforms do you use regularly? (Select all that apply),4. How many hours do you spend on social media per day?,[SECTION C: Cyberbullying Experience] 5. Have you personally experienced cyberbullying or online harassment on social media?,6. Have you ever witnessed someone being cyberbullied?,"7. Have you ever posted, shared, or sent a message online that could have hurt or offended someone?","8. If yes, what was the main reason for your action?",9. What type of cyberbullying have you experienced or observed? (Select all that apply),10. On which social media platform did the incident occur?,11. How often have you experienced cyberbullying or online harassment?,[SECTION D: Mental Health Impact] 12. Do you think cyberbullying or online harassment affected your mental health?,13. Which of the following did you experience? (Select all that apply),"14. On a scale of 1–5, how severe was the emotional impact?",15. Did you seek help from anyone? (Select all that apply),"[SECTION E: Cyber Law Awareness and Prevention] 16. If you did not report the incident, what was the main reason?",17. In which area did you experience cyberbullying or online harassment?,18. What action did you take after experiencing cyberbullying or online harassment? (Select all that apply)
12-09-2026 21:19,18–22,Male,"Instagram, WhatsApp",3–5 hours,No,Yes,Yes,To respond to the person,Fake Rumors,Others,Rarely,Not at all,None,1 (Very Low),No,Didn't think it was serious,Unknown Stranger,"Blocked the user, Reported the account"
12-09-2026 21:36,18–22,Male,"Instagram, WhatsApp, YouTube",1–3 hours,No,Yes,No,Not Applicable,Fake Rumors,Others,Rarely,Slightly,Anger,1 (Very Low),Friends,Not Applicable,Social Media Community,Told Friends / Family
12-09-2026 21:54,18–22,Female,Instagram,1–3 hours,No,No,No,Not Applicable,Fake Profile,WhatsApp,Rarely,Not at all,Anger,2,No,Not Applicable,Other,Ignored it
12-09-2026 22:03,18–22,Female,"Instagram, WhatsApp",Less than 1 hour,No,Yes,No,Not Applicable,Offensive Comments,Instagram,Never,Not at all,Loss of Confidence,2,Family,Not Applicable,Social Media Community,"Reported the account, Told Friends / Family"
12-09-2026 22:06,18–22,Female,"WhatsApp, YouTube",3–5 hours,No,Yes,No,Not Applicable,Fake Profile,Instagram,Never,Not at all,Anxiety,3,Friends,Lack of Awareness,Unknown Stranger,Blocked the user
12-09-2026 22:23,18–22,Male,Instagram,More than 5 hours,No,No,No,Not Applicable,Threats,WhatsApp,Sometimes,Not at all,Loss of Confidence,2,Family,Lack of Awareness,Social Media Community,Ignored it
12-09-2026 22:28,18–22,Female,YouTube,1–3 hours,No,Yes,No,Not Applicable,Offensive Comments,WhatsApp,Never,Not at all,None,3,No,Didn't think it was serious,Online Gaming,"Blocked the user, Reported the account"
12-09-2026 23:09,18–22,Female,Others,More than 5 hours,No,No,No,Not Applicable,Fake Profile,Instagram,Rarely,Not at all,None,1 (Very Low),Family,Not Applicable,Family,Ignored it
13-09-2026 00:34,18–22,Female,"Instagram, WhatsApp",3–5 hours,No,Yes,No,Not Applicable,Offensive Comments,Instagram,Sometimes,Not at all,Loss of Confidence,1 (Very Low),No,Lack of Awareness,Unknown Stranger,"Reported the account, Told Friends / Family"
13-09-2026 00:43,23–30,Male,Facebook,3–5 hours,Yes,No,Yes,I did not realize it was harmful,"Hate Speech, Threats, Fake Rumors, Fake Profile",WhatsApp,Sometimes,Severely,Anger,4,"Friends, Psychologist",Didn't think it was serious,Family,Blocked the user
